                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                0.48178,                0.43934,                0.62577,                0.99171,                0.76862,                0.96651,                 0.9059,                0.86205,                0.77565,                0.97346,                0.91551,                0.81689,                0.38936,                0.73046,                 0.5244,                0.94886,             0.00024554,             0.00024554,             0.00024554
                     96,                0.47213,                0.43591,                0.61452,                0.98383,                0.76887,                0.96622,                0.89881,                0.86202,                0.76887,                0.96622,                0.89881,                0.81059,                 0.3882,                0.78174,                0.49387,                0.94787,             0.00024329,             0.00024329,             0.00024329
                     97,                0.48298,                0.42411,                0.63123,                0.99619,                0.79648,                0.93837,                  0.897,                0.85742,                0.79648,                0.93837,                  0.897,                0.80674,                0.39977,                0.67385,                0.58287,                0.95887,             0.00024104,             0.00024104,             0.00024104
                     98,                0.47497,                0.41541,                0.60867,                0.98665,                 0.7443,                0.96651,                0.88971,                0.84651,                 0.7443,                0.96651,                0.88971,                0.81127,                0.39401,                0.71376,                0.53842,                0.95415,             0.00023878,             0.00023878,             0.00023878
                     99,                0.49279,                0.44201,                0.62204,                0.99015,                0.81644,                0.94118,                0.91468,                0.86869,                0.82407,                0.94812,                0.92476,                0.83043,                 0.4477,                0.67495,                0.60955,                0.97441,             0.00023653,             0.00023653,             0.00023653
                    100,                0.49501,                0.43594,                0.59751,                0.98485,                0.80614,                0.91452,                0.92948,                  0.881,                0.80426,                0.91688,                0.93324,                0.84339,                0.38887,                0.66702,                 0.6295,                0.94897,             0.00023428,             0.00023428,             0.00023428
                    101,                 0.4756,                 0.4302,                0.61333,                0.98317,                0.81062,                0.96395,                0.92883,                0.88582,                0.81709,                 0.9709,                0.93877,                0.84086,                0.35937,                0.64514,                0.54565,                0.93472,             0.00023203,             0.00023203,             0.00023203
                    102,                0.46315,                0.42693,                0.61586,                0.96894,                0.77093,                0.96051,                0.91669,                 0.8698,                0.77731,                0.96685,                0.92601,                0.81862,                0.37118,                0.65441,                0.57059,                0.93289,             0.00022978,             0.00022978,             0.00022978
                    103,                0.46628,                0.41432,                0.59979,                0.97473,                0.80245,                0.96246,                0.90956,                0.86793,                0.80885,                0.96906,                0.91762,                0.82332,                0.36605,                0.64773,                0.52812,                0.93213,             0.00022752,             0.00022752,             0.00022752
                    104,                0.47211,                0.45489,                0.61149,                0.98389,                0.81216,                 0.9456,                0.91995,                0.87758,                0.81938,                0.95255,                0.92736,                0.83196,                0.36596,                 0.6576,                0.55583,                0.93383,             0.00022527,             0.00022527,             0.00022527
                    105,                0.46951,                0.41607,                0.61797,                0.98695,                0.80727,                0.90038,                0.91543,                0.86959,                0.80727,                0.90038,                0.91922,                0.82577,                0.39627,                0.66721,                0.65259,                0.95075,             0.00022302,             0.00022302,             0.00022302
                    106,                0.46418,                0.42564,                 0.6191,                0.97672,                0.77993,                0.97259,                 0.9075,                0.86472,                0.78604,                0.97954,                0.91097,                0.81686,                0.38535,                0.69108,                0.53441,                 0.9481,             0.00022077,             0.00022077,             0.00022077
                    107,                 0.4584,                0.42508,                0.58697,                0.95574,                0.78294,                0.96844,                0.91436,                0.87024,                0.78858,                0.97538,                0.91748,                0.82839,                 0.4007,                0.68016,                0.53306,                0.95286,             0.00021851,             0.00021851,             0.00021851
                    108,                0.44786,                0.42186,                0.57645,                 0.9612,                0.84762,                0.88938,                0.89588,                0.83969,                0.85512,                0.89632,                0.89856,                0.81073,                0.40886,                0.62183,                0.56689,                0.95992,             0.00021626,             0.00021626,             0.00021626
                    109,                0.45252,                0.42369,                0.59514,                0.96961,                0.79291,                0.96736,                0.91317,                0.86858,                0.79846,                0.97431,                0.91693,                0.83782,                0.40014,                0.73797,                 0.5012,                0.95567,             0.00021401,             0.00021401,             0.00021401
                    110,                0.45074,                0.42215,                0.57639,                0.96516,                0.75134,                0.96651,                0.91676,                0.87067,                0.76083,                0.97346,                0.91948,                0.81589,                0.37283,                0.68118,                0.53847,                 0.9403,             0.00021176,             0.00021176,             0.00021176
                    111,                0.46118,                0.42463,                0.58015,                0.97688,                0.84782,                0.94465,                0.93804,                0.90084,                0.85457,                0.95169,                0.94224,                0.84754,                0.35552,                0.67041,                0.53991,                0.93559,              0.0002095,              0.0002095,              0.0002095
                    112,                0.45423,                0.43546,                0.57031,                 0.9715,                0.77659,                0.97447,                0.91607,                0.88047,                0.78229,                0.98141,                0.92585,                0.83103,                 0.3506,                0.66049,                0.54239,                0.92987,             0.00020725,             0.00020725,             0.00020725
                    113,                0.45395,                0.41463,                0.56361,                0.96579,                0.80577,                0.96076,                0.91586,                0.87362,                0.81154,                0.95241,                0.92381,                0.82741,                0.37034,                0.59849,                0.51403,                0.93411,               0.000205,               0.000205,               0.000205
                    114,                0.44707,                0.42583,                0.57456,                0.97132,                0.81935,                0.94522,                0.93417,                0.88938,                0.82721,                0.95216,                0.93778,                0.84381,                0.37729,                0.63487,                0.56268,                0.94393,             0.00020275,             0.00020275,             0.00020275
                    115,                 0.4394,                0.42652,                0.56062,                0.96407,                0.85691,                0.87584,                0.90795,                0.86396,                0.85691,                0.87584,                0.90795,                0.81546,                0.36363,                0.58717,                0.54882,                0.93207,              0.0002005,              0.0002005,              0.0002005
                    116,                0.43219,                0.38939,                0.56061,                0.95492,                0.80208,                0.94597,                0.93577,                0.89032,                0.80208,                0.94597,                0.93577,                0.84461,                0.35104,                0.61749,                0.52764,                0.92481,             0.00019824,             0.00019824,             0.00019824
                    117,                0.45347,                0.40264,                0.58754,                0.97082,                0.79029,                0.96815,                 0.9319,                0.88651,                0.79622,                0.97509,                0.93666,                0.84697,                0.36762,                0.62142,                0.49711,                0.92167,             0.00019599,             0.00019599,             0.00019599
                    118,                0.43348,                0.42431,                0.55755,                0.96417,                0.80665,                0.96161,                0.92212,                0.87686,                0.80665,                0.96161,                0.92212,                0.82836,                0.36182,                0.60477,                0.49313,                 0.9346,             0.00019374,             0.00019374,             0.00019374
                    119,                0.44312,                0.41214,                0.58076,                0.96806,                0.79493,                0.96624,                0.91193,                0.87431,                0.80215,                0.97175,                0.92023,                0.82834,                 0.3666,                0.69429,                0.54663,                0.93943,             0.00019149,             0.00019149,             0.00019149
                    120,                0.42497,                0.41143,                0.55028,                0.95789,                0.78653,                0.97672,                0.92979,                0.88892,                 0.7922,                0.98367,                0.93351,                0.84781,                0.35937,                0.65595,                0.52352,                0.93231,             0.00018923,             0.00018923,             0.00018923
                    121,                0.42933,                 0.4253,                 0.5539,                0.96034,                0.76412,                 0.9698,                0.92061,                0.87805,                0.76943,                0.97674,                 0.9262,                 0.8367,                  0.388,                0.76838,                0.47159,                0.95008,             0.00018698,             0.00018698,             0.00018698
                    122,                0.43812,                0.42301,                0.56141,                0.95513,                0.77233,                0.95098,                0.90546,                 0.8603,                0.77233,                0.95098,                0.90546,                0.81745,                0.34906,                0.61045,                0.52929,                0.92074,             0.00018473,             0.00018473,             0.00018473
                    123,                0.43872,                0.41471,                0.58073,                0.96722,                 0.8114,                0.94983,                0.91764,                0.87687,                 0.8114,                0.94983,                0.91764,                0.82343,                0.36099,                0.62433,                0.50094,                0.93473,             0.00018248,             0.00018248,             0.00018248
                    124,                0.42684,                0.41663,                0.55181,                0.94358,                0.76508,                0.95174,                0.88097,                0.83419,                0.76947,                0.95612,                0.88554,                0.79812,                0.37011,                0.65052,                0.59059,                0.93421,             0.00018023,             0.00018023,             0.00018023
                    125,                0.43903,                0.40778,                0.56174,                0.96308,                0.80113,                0.96087,                0.91288,                0.87248,                0.80715,                0.96999,                0.91774,                0.82352,                0.37751,                0.62678,                0.51512,                0.94022,             0.00017797,             0.00017797,             0.00017797
                    126,                0.43517,                0.42212,                 0.5581,                0.95956,                0.78954,                0.95642,                0.91157,                0.86793,                 0.7971,                0.96336,                0.91548,                0.82284,                 0.3538,                0.63182,                0.51418,                0.91853,             0.00017572,             0.00017572,             0.00017572
                    127,                 0.4177,                0.41497,                0.53847,                 0.9461,                 0.8089,                0.95753,                0.91678,                0.87489,                0.80742,                 0.9611,                0.92021,                0.83523,                0.37434,                0.66579,                0.51931,                0.92255,             0.00017347,             0.00017347,             0.00017347
                    128,                0.41822,                  0.411,                0.55857,                0.95573,                0.79632,                0.94801,                0.91799,                0.87978,                0.79632,                0.94801,                 0.9222,                0.83014,                 0.3612,                0.64315,                0.56018,                0.92693,             0.00017122,             0.00017122,             0.00017122
                    129,                0.41464,                0.42859,                0.52875,                0.94515,                0.80478,                 0.9311,                0.92676,                0.88653,                0.81176,                0.93788,                0.93595,                0.82198,                0.34192,                0.68245,                0.51592,                0.91472,             0.00016896,             0.00016896,             0.00016896
                    130,                0.41907,                0.43497,                0.54022,                 0.9562,                0.76632,                0.96188,                0.91035,                0.87621,                 0.7721,                0.96883,                0.92099,                0.83672,                0.35145,                0.67241,                0.49313,                0.90911,             0.00016671,             0.00016671,             0.00016671
                    131,                0.42467,                0.39604,                0.53416,                0.94993,                0.83998,                0.92661,                0.92788,                0.88649,                0.84732,                0.93356,                0.93648,                0.84536,                0.33595,                0.65441,                0.48888,                0.91008,             0.00016446,             0.00016446,             0.00016446
                    132,                0.41107,                0.42271,                0.54363,                 0.9518,                0.89162,                0.89125,                0.93221,                0.89852,                0.89919,                0.89819,                0.93841,                0.83829,                0.33955,                0.65956,                0.51837,                0.91087,             0.00016221,             0.00016221,             0.00016221
                    133,                0.41475,                0.41037,                0.53761,                0.94292,                0.78278,                0.95729,                0.89637,                0.86539,                0.78996,                 0.9642,                0.90577,                0.81068,                0.34431,                0.65499,                0.54309,                0.91751,             0.00015996,             0.00015996,             0.00015996
                    134,                0.41676,                0.42097,                0.55284,                0.94721,                0.80115,                0.93408,                0.93108,                0.89165,                0.80787,                0.94102,                0.93567,                0.83961,                0.36156,                0.66886,                0.50665,                0.92046,              0.0001577,              0.0001577,              0.0001577
                    135,                0.41276,                0.42161,                 0.5391,                0.95326,                0.81201,                0.95213,                0.90363,                0.86616,                0.81907,                0.95907,                0.90824,                0.81656,                0.34159,                0.70607,                0.52917,                0.91711,             0.00015545,             0.00015545,             0.00015545
                    136,                 0.4012,                0.39123,                0.53195,                0.94391,                0.81271,                0.94437,                0.90814,                0.87291,                0.81994,                0.95131,                 0.9168,                 0.8331,                0.33405,                0.65325,                0.49027,                0.90536,              0.0001532,              0.0001532,              0.0001532
                    137,                0.40923,                0.42571,                0.52043,                0.94303,                0.82063,                0.94081,                  0.932,                0.89043,                0.82811,                0.94776,                0.94098,                0.84941,                0.35655,                0.66356,                0.52829,                0.91521,             0.00015095,             0.00015095,             0.00015095
                    138,                0.40378,                0.40212,                0.51076,                0.94614,                0.83799,                0.94632,                0.93249,                0.89273,                0.84544,                0.95326,                 0.9365,                 0.8504,                0.35969,                0.69205,                0.51368,                0.92833,             0.00014869,             0.00014869,             0.00014869
                    139,                 0.4029,                0.39616,                0.52432,                 0.9451,                0.81625,                0.96549,                0.92305,                0.88525,                0.82341,                0.97243,                0.92813,                0.84242,                0.34724,                0.67413,                0.50578,                0.91081,             0.00014644,             0.00014644,             0.00014644
                    140,                0.41374,                0.41379,                0.52563,                0.93892,                0.80758,                 0.9497,                0.93166,                0.89457,                0.81522,                0.95659,                0.93831,                 0.8525,                0.34986,                0.62237,                0.49075,                0.91356,             0.00014419,             0.00014419,             0.00014419
                    141,                0.41937,                0.40999,                0.52339,                 0.9498,                0.79143,                0.94957,                 0.9254,                0.88846,                0.79888,                0.95652,                0.92987,                0.84042,                 0.3444,                 0.6512,                 0.5253,                0.92246,             0.00014194,             0.00014194,             0.00014194
                    142,                0.40251,                0.40032,                0.52751,                 0.9353,                0.79217,                0.92796,                0.91142,                0.87738,                0.79931,                 0.9349,                  0.917,                0.83166,                0.31805,                0.64948,                0.52547,                0.89717,             0.00013969,             0.00013969,             0.00013969
                    143,                0.41279,                0.40121,                0.51403,                0.94816,                0.78785,                0.94257,                0.89343,                0.85873,                0.79432,                0.94881,                0.90067,                0.81459,                0.33178,                0.63935,                0.52353,                0.90435,             0.00013743,             0.00013743,             0.00013743
                    144,                0.40403,                0.41172,                0.51378,                0.93755,                 0.8015,                0.95355,                0.90357,                0.86675,                0.80839,                 0.9605,                0.91393,                0.81941,                0.33756,                0.64207,                 0.5389,                0.91733,             0.00013518,             0.00013518,             0.00013518
                    145,                0.40462,                0.40256,                0.49489,                0.93972,                0.82893,                0.93605,                0.92037,                0.88793,                0.83632,                  0.943,                0.92516,                0.82895,                0.33213,                0.67079,                0.49259,                0.90429,             0.00013293,             0.00013293,             0.00013293
                    146,                0.39808,                0.40818,                0.50514,                0.93342,                0.77029,                 0.9586,                0.91454,                0.88139,                0.77826,                0.96552,                0.92063,                0.83347,                0.34321,                0.66814,                0.54211,                0.91073,             0.00013068,             0.00013068,             0.00013068
                    147,                0.39528,                0.36824,                0.50586,                0.93492,                0.80487,                0.95687,                  0.903,                0.87098,                0.81188,                0.96379,                0.91232,                0.82514,                0.34046,                0.69511,                0.53839,                0.90893,             0.00012842,             0.00012842,             0.00012842
                    148,                0.40085,                0.38238,                0.51207,                0.92817,                0.77898,                0.96002,                0.91449,                0.88489,                0.78656,                0.96694,                0.92033,                0.83084,                0.32812,                0.66461,                 0.5259,                0.89925,             0.00012617,             0.00012617,             0.00012617
                    149,                0.39749,                0.37043,                0.50234,                 0.9352,                0.79062,                 0.9316,                0.89873,                0.86551,                0.79807,                0.93854,                0.90972,                0.81836,                0.31131,                 0.6389,                0.53207,                0.89585,             0.00012392,             0.00012392,             0.00012392
                    150,                0.39489,                0.41055,                0.50793,                0.93689,                0.78311,                0.94139,                 0.8917,                0.85931,                0.79046,                0.94833,                0.89903,                0.80416,                0.32441,                0.65224,                0.53142,                0.90245,             0.00012167,             0.00012167,             0.00012167
                    151,                0.38774,                0.40101,                 0.5058,                0.92471,                0.78457,                0.96167,                0.90554,                0.87407,                0.79186,                0.96861,                0.91106,                0.82113,                0.32389,                0.66532,                0.51277,                0.89714,             0.00011941,             0.00011941,             0.00011941
                    152,                0.38756,                0.39808,                0.49251,                0.93594,                0.77553,                0.96015,                0.90656,                0.87567,                0.78283,                 0.9671,                0.91376,                0.81761,                0.32345,                0.68103,                0.50313,                0.89904,             0.00011716,             0.00011716,             0.00011716
                    153,                0.38944,                0.37952,                0.51067,                0.94065,                0.82925,                 0.9505,                0.92323,                0.88884,                 0.8366,                0.95744,                0.93333,                0.82644,                0.32795,                0.66702,                 0.5164,                0.90766,             0.00011491,             0.00011491,             0.00011491
                    154,                0.39026,                0.38866,                0.49739,                0.93033,                0.79677,                0.91266,                0.91369,                0.87729,                0.80428,                 0.9196,                0.92217,                0.82963,                0.33023,                 0.6685,                0.52487,                0.90488,             0.00011266,             0.00011266,             0.00011266
                    155,                0.38851,                0.39234,                0.48633,                0.92906,                0.78008,                0.95352,                0.90566,                0.86936,                0.78804,                0.95941,                0.91406,                 0.8289,                0.33909,                0.64608,                0.53984,                0.90353,             0.00011041,             0.00011041,             0.00011041
                    156,                0.38584,                0.38687,                0.51099,                0.93854,                0.77821,                0.94296,                0.91515,                0.88605,                0.77821,                0.94296,                0.91515,                0.82439,                0.31011,                0.63946,                 0.5331,                0.89414,             0.00010815,             0.00010815,             0.00010815
                    157,                0.39942,                0.39176,                0.51612,                0.93672,                0.78969,                0.94554,                0.90243,                0.87139,                0.79686,                0.95248,                0.91082,                0.81518,                0.30908,                0.66378,                0.49938,                0.89227,              0.0001059,              0.0001059,              0.0001059
                    158,                0.37712,                0.40125,                0.50149,                0.93487,                0.77737,                0.95197,                0.89969,                0.87265,                 0.7849,                0.95892,                  0.908,                0.81887,                0.30124,                0.64784,                0.54165,                0.89336,             0.00010365,             0.00010365,             0.00010365
                    159,                0.38736,                 0.3901,                0.48546,                0.93897,                0.80257,                0.97068,                 0.9153,                0.88244,                0.81013,                0.97762,                 0.9236,                0.82662,                0.29255,                0.66241,                0.46846,                0.88781,              0.0001014,              0.0001014,              0.0001014
                    160,                0.38394,                0.37474,                0.49965,                0.92884,                 0.7765,                0.96694,                0.91047,                0.87719,                 0.7765,                0.96694,                0.91047,                0.83535,                0.32655,                0.64703,                0.47255,                0.90771,             9.9144e-05,             9.9144e-05,             9.9144e-05
                    161,                0.36884,                0.36978,                0.47443,                0.91551,                0.77546,                0.93408,                0.89111,                0.85507,                0.78304,                0.94096,                0.89542,                0.80968,                0.32286,                0.64816,                0.52431,                0.90887,             9.6892e-05,             9.6892e-05,             9.6892e-05
