                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0687,                 1.2188,                 1.2541,                0.41796,                0.27795,                0.29841,                0.19191,                  1.056,                 1.2274,                 1.2513,             0.00048074,             0.00048074,             0.00048074
                     36,                 1.0744,                 1.2259,                 1.3185,                 0.3961,                 0.3374,                0.28162,                0.18756,                0.98778,                 1.2436,                 1.2086,             0.00047367,             0.00047367,             0.00047367
                     37,                 1.0911,                 1.1205,                 1.2894,                0.63509,                0.31458,                0.30694,                0.20303,                0.99928,                 1.1722,                 1.1702,              0.0004666,              0.0004666,              0.0004666
                     38,                 1.0489,                 1.0603,                 1.2651,                0.74415,                0.21105,                0.29792,                0.19568,                  0.997,                 1.2179,                 1.1879,             0.00045953,             0.00045953,             0.00045953
                     39,                 1.0447,                 1.1389,                 1.2113,                0.45799,                0.49064,                  0.332,                0.19829,                 1.0218,                 1.2078,                 1.1885,             0.00045246,             0.00045246,             0.00045246
                     40,                 1.0794,                 1.1158,                  1.301,                0.79332,                0.28614,                0.33949,                0.20094,                 1.0075,                 1.2083,                 1.1998,             0.00044539,             0.00044539,             0.00044539
                     41,                 1.0304,                 1.0234,                 1.2087,                0.54141,                0.44419,                0.30474,                0.19059,                 1.0972,                   1.17,                 1.2317,             0.00043832,             0.00043832,             0.00043832
                     42,                 1.0678,                 1.0305,                 1.2677,                0.53615,                0.40738,                0.43993,                0.31459,                 1.0434,                 1.0388,                 1.1831,             0.00043126,             0.00043126,             0.00043126
                     43,                 1.0675,                 1.0907,                 1.2699,                0.37178,                0.37613,                0.35206,                0.22896,                 1.0732,                 1.1995,                  1.204,             0.00042419,             0.00042419,             0.00042419
                     44,                  1.013,                 1.0922,                 1.2035,                0.41241,                0.41779,                0.35462,                0.25631,                0.99912,                 1.1687,                 1.1359,             0.00041712,             0.00041712,             0.00041712
